"Commodity Code","Crop Name","Group_name"
313299,"CARROTS PROCESSING","All Other"
313999,"CARROTS UNSPECIFIED","All Other"
314189,"CAULIFLOWER FOOD SERVICE","All Other"
314199,"CAULIFLOWER FRESH MARKET","All Other"
314299,"CAULIFLOWER PROCESSING","All Other"
314999,"CAULIFLOWER UNSPECIFIED","All Other"
316189,"CELERY FOOD SERVICE","All Other"
316199,"CELERY FRESH MARKET","All Other"
316999,"CELERY UNSPECIFIED","All Other"
318999,"RADICCHIO","All Other"
322999,"COLLARD GREENS","All Other"
325999,"CUCUMBERS","All Other"
330999,"EGGPLANT ALL","All Other"
331999,"ENDIVE ALL","All Other"
332999,"ESCAROLE ALL","All Other"
333999,"ANISE (FENNEL)","All Other"
335999,"GARLIC ALL","All Other"
337999,"KALE","All Other"
338999,"KOHLRABI","All Other"
339196,"LETTUCE BULK SALAD PRODS.","All Other"
339999,"LETTUCE UNSPECIFIED","All Other"
340999,"LETTUCE HEAD","All Other"
341999,"LETTUCE ROMAINE","All Other"
342999,"LETTUCE LEAF","All Other"
343999,"MELONS CANTALOUPE","All Other"
348999,"MELONS HONEYDEW","All Other"
354299,"MELONS UNSPECIFIED","All Other"
354999,"MELONS WATERMELON","All Other"
355999,"MUSHROOMS","All Other"
357999,"OKRA","All Other"
358999,"ONIONS","All Other"
359999,"PARSLEY","All Other"
360999,"PARSNIPS","All Other"
361999,"PEAS GREEN UNSPECIFIED","All Other"
363999,"PEPPERS BELL","All Other"
364999,"PEPPERS CHILI HOT","All Other"
366999,"PUMPKINS","All Other"
367999,"RADISHES","All Other"
370999,"RUTABAGAS","All Other"
372999,"ONIONS GREEN & SHALLOT","All Other"
374189,"SPINACH FOOD SERVICE","All Other"
374199,"SPINACH FRESH MARKET","All Other"
374299,"SPINACH PROCESSING","All Other"
374999,"SPINACH UNSPECIFIED","All Other"
375999,"SQUASH","All Other"
376999,"SWISS CHARD","All Other"
378199,"TOMATES FRESH MARKET","All Other"
378299,"TOMATES PROCESSING","All Other"
378999,"TOMATES UNSPECIFIED","All Other"
380999,"TURNIPS ALL","All Other"
381999,"GREENS TURNIP & MUSTARD","All Other"
382999,"WATERCRESS","All Other"
387999,"LEEKS","All Other"
391999,"POTATOES IRISH ALL","All Other"
392999,"POTATOES SWEET","All Other"
393999,"HORSERADISH","All Other"
394199,"SALAD GREENS NEC.","All Other"
394999,"PEAS EDIBLE POD (SNOW)","All Other"
395999,"VEGETABLES ORIENTAL ALL","All Other"
396999,"SPROUTS ALFALFA & BEAN","All Other"
398299,"TOMATES GREENHOUSE","All Other"
398399,"TOMATES CHERRY","All Other"
398499,"TOMATILLO","All Other"
398559,"CILANTRO","All Other"
398599,"SPICES AND HERBS","All Other"
398699,"MINT","All Other"
398899,"VEGETABLES BABY","All Other"
398999,"VEGETABLES UNSPECIFIED","All Other"
832919,"POTATOES SEED","All Other"
"#N/A","BARLEY MALTING","All Other"
"#N/A","BEANS PINTO","All Other"
161722,"BEANS RED SMALL","All Other"
304299,"BEANS SNAP PROCESSING","All Other"
161713,"BEANS WHITE SMALL","All Other"
161714,"BEANS WHITE SMALL FLAT","All Other"
234799,"BERRIES LOGANBERRIES","All Other"
235799,"BERRIES OLALLIEBERRIES","All Other"
310992,"CABBAGE RED","All Other"
312999,"CARDOON","All Other"
316999,"CELERY PROCESSING","All Other"
320999,"CHIVES","All Other"
191999,"HOPS","All Other"
344999,"MELONS CASABA","All Other"
346999,"MELONS CRENSHAW","All Other"
356999,"MUSTARD","All Other"
198099,"RICE SWEET","All Other"
172269,"SEED LADINO CLOVER","All Other"
172909,"SEED LEGUMES ALL OTHER","All Other"
174699,"SEED VETCH","All Other"
158279,"SESAME","All Other"
171149,"SORGHUM SEED","All Other"
154999,"SOYBEANS","All Other"
377999,"TARO ROOT","All Other"
198399,"YUCCA","All Other"
261999,"ALMONDS ALL","Almonds, Pistachios and Walnuts"
268079,"PISTACHIOS","Almonds, Pistachios and Walnuts"
111992,"CORN SILAGE","Corn"
111991,"CORN GRAIN","Corn"
111559,"CORN WHITE","Corn"
323999,"CORN SWEET ALL","Corn"
121229,"COTTN LINT PIMA","Cotton"
121299,"COTTN LINT UNSPECIFIED","Cotton"
121219,"COTTN LINT UPLAND","Cotton"
171519,"COTTN SEED PLANTING","Cotton"
151999,"COTTNSEED","Cotton"
158499,"JOJOBA","Other Deciduous and Subtropical"
201119,"ORANGES NAVEL","Other Deciduous and Subtropical"
201519,"ORANGES VALENCIA","Other Deciduous and Subtropical"
201999,"ORANGES UNSPECIFIED","Other Deciduous and Subtropical"
202999,"GRAPEFRUIT ALL","Other Deciduous and Subtropical"
203999,"TANGERINES & MANDARINS","Other Deciduous and Subtropical"
204999,"LEMONS ALL","Other Deciduous and Subtropical"
205999,"LIMES ALL","Other Deciduous and Subtropical"
206999,"TANGELOS","Other Deciduous and Subtropical"
207999,"KUMQUATS","Other Deciduous and Subtropical"
208059,"CITRU BY-PRODUCTS MISC.","Other Deciduous and Subtropical"
209999,"CITRU UNSPECIFIED","Other Deciduous and Subtropical"
211999,"APPLES ALL","Other Deciduous and Subtropical"
212199,"PEACHES FREESTONE","Other Deciduous and Subtropical"
212399,"PEACHES CLINGSTONE","Other Deciduous and Subtropical"
212999,"PEACHES UNSPECIFIED","Other Deciduous and Subtropical"
213199,"CHERRIES SWEET","Other Deciduous and Subtropical"
214199,"PEARS BARTLETT","Other Deciduous and Subtropical"
214899,"PEARS ASIAN","Other Deciduous and Subtropical"
214999,"PEARS UNSPECIFIED","Other Deciduous and Subtropical"
215199,"PLUMS","Other Deciduous and Subtropical"
215399,"PLUMCOTS","Other Deciduous and Subtropical"
215999,"PLUMS DRIED","Other Deciduous and Subtropical"
217999,"APRICOTS ALL","Other Deciduous and Subtropical"
218199,"NECTARINES","Other Deciduous and Subtropical"
218299,"PERSIMMONS","Other Deciduous and Subtropical"
218399,"POMEGRANATES","Other Deciduous and Subtropical"
218499,"QUINCE","Other Deciduous and Subtropical"
218839,"CHERIMOYAS","Other Deciduous and Subtropical"
218899,"FRUITS & NUTS UNSPECIFIED","Other Deciduous and Subtropical"
221999,"AVOCADOS ALL","Other Deciduous and Subtropical"
224999,"DATES","Other Deciduous and Subtropical"
225999,"FIGS DRIED","Other Deciduous and Subtropical"
226999,"OLIVES","Other Deciduous and Subtropical"
228019,"GUAVAS","Other Deciduous and Subtropical"
229999,"KIWIFRUIT","Other Deciduous and Subtropical"
262999,"FILBERTS","Other Deciduous and Subtropical"
263999,"WALNUTS ENGLISH","Almonds, Pistachios and Walnuts"
264999,"PECANS","Other Deciduous and Subtropical"
265999,"WALNUTS BLACK","Almonds, Pistachios and Walnuts"
266999,"CHESTNUTS","Other Deciduous and Subtropical"
267999,"MACADAMIA NUTS","Other Deciduous and Subtropical"
228029,"FEIJOA","Other Deciduous and Subtropical"
228059,"PEARS PRICKLY","Other Deciduous and Subtropical"
208039,"POMELO","Other Deciduous and Subtropical"
216199,"GRAPE TABLE","Vine"
216299,"GRAPE WINE","Vine"
216399,"GRAPE RAISIN","Vine"
216999,"GRAPE UNSPECIFIED","Vine"
